t,y_T,y_V,V
0.0,0.05,0.05,1.0
0.1,0.04757574193219294,0.04858539666427754,0.9693223805172403
0.2,0.045269024407972425,0.04721081538050381,0.9410860342388171
0.30000000000000004,0.043074148455116784,0.04587512384211505,0.9150194093720796
0.4,0.040985691416992064,0.044577221777840306,0.8908894885670371
0.5,0.03899849355534619,0.04331604004535684,0.8684952023902192
0.6,0.03710764530266879,0.04209053975058785,0.8476621483633875
0.7,0.03530847513262243,0.04089971139191704,0.82823832335413
0.7999999999999999,0.03359653801857793,0.039742574028615196,0.8100906495317564
0.8999999999999999,0.03196760445173945,0.03861817447279368,0.7931021269405318
0.9999999999999999,0.03041764999172756,0.03752558650421915,0.7771694847074966
1.0999999999999999,0.028942845323804017,0.03646391010734294,0.7622012319265234
1.2,0.02753954679817354,0.03543227072991631,0.7481160310840252
1.3,0.02620428742798909,0.03442981856258109,0.7348413334464658
1.4000000000000001,0.024933768323820334,0.03345572783884216,0.7223122284920647
1.5000000000000002,0.02372485054342326,0.032509196154845175,0.7104704692298396
1.6000000000000003,0.022574547336675046,0.031589443808399176,0.6992636428287818
1.7000000000000004,0.021480016766514506,0.030695713156699597,0.6886444619068961
1.8000000000000005,0.02043855468765743,0.029827267992222652,0.6785701564949959
1.9000000000000006,0.01944758806574004,0.02898339293627693,0.6690019503850748
2.0000000000000004,0.018504668620384867,0.028163392849712685,0.65990460851691
2.1000000000000005,0.01760746677648358,0.027366592260303368,0.6512460444151783
2.2000000000000006,0.016753765908752875,0.026592334806327732,0.6429969785892504
2.3000000000000007,0.015941456865343973,0.025839982695894135,0.6351306403459962
2.400000000000001,0.015168532756975803,0.02510891618156168,0.6276225067173212
2.500000000000001,0.014433083998717917,0.02439853304982542,0.6204500732269566
2.600000000000001,0.013733293592173337,0.023708248125045066,0.6135926520607118
2.700000000000001,0.01306743263640555,0.023037492787408572,0.6070311938966831
2.800000000000001,0.01243385605651892,0.022385714504533565,0.600748130224988
2.9000000000000012,0.011830998539339565,0.021752376376320687,0.5947272334628462
3.0000000000000013,0.011257370666155413,0.02113695669268401,0.5889534925680957
3.1000000000000014,0.010711555232960976,0.020538948503794167,0.583413002186792
3.2000000000000015,0.010192203749115643,0.019957859202480183,0.5780928636499149
3.3000000000000016,0.009698033105765103,0.01939321011844603,0.5729810963696607
3.4000000000000017,0.009227822405794882,0.01884453612396762,0.568066558384887
3.5000000000000018,0.008780409947484101,0.018311385250745476,0.5633388749741224
3.600000000000002,0.008354690354407265,0.017793318317597402,0.5587883743981853
3.700000000000002,0.007949611844493231,0.017289908568684502,0.5544060299569812
3.800000000000002,0.007564173631494284,0.01680074132197255,0.5501834076498598
3.900000000000002,0.007197423452445414,0.016325413627639097,0.5461126188188147
4.000000000000002,0.006848455215005123,0.015863533936144952,0.5421862772311111
4.100000000000001,0.006516406758865292,0.015414721775696609,0.5383974601245737
4.200000000000001,0.006200457725699458,0.014978607438833925,0.5347396727963526
4.300000000000001,0.005899827532386987,0.01455483167788489,0.5312068163658694
4.4,0.005613773442505798,0.01414304540903659,0.5277931583859469
4.5,0.005341588731329084,0.01374290942477864,0.524493306013801
4.6,0.005082600939792447,0.013354094114482169,0.5213021814864207
4.699999999999999,0.004836170213117734,0.012976279192884204,0.51821499967356
4.799999999999999,0.004601687719988957,0.012609153436253804,0.5152272475066854
4.899999999999999,0.004378574148374718,0.012252414426022583,0.512334665104261
4.999999999999998,0.0041662782742809415,0.011905768299668471,0.5095332284331137
5.099999999999998,0.003964275599897844,0.011568929508647475,0.5068191333626679
5.1999999999999975,0.003772067057776583,0.01124162058317406,0.5041887809838764
5.299999999999997,0.0035891777778341003,0.010923571903656374,0.5016387640779519
5.399999999999997,0.0034151559141399374,0.010614521478598043,0.4991658546317625
5.4999999999999964,0.003249571528586482,0.010314214728783593,0.49676699230716975
5.599999999999996,0.003092015528684644,0.010022404277569692,0.4944392737808408
5.699999999999996,0.002942098656860674,0.009738849747109507,0.4921799428792888
5.799999999999995,0.0027994505287570978,0.009463317560342287,0.48998638144122364
5.899999999999995,0.0026637187181617747,0.009195580748585064,0.4878561008458251
5.999999999999995,0.002534567886304327,0.00893541876456799,0.4857867341513873
6.099999999999994,0.0024116789533687676,0.008682617300759289,0.4837760287940008
6.199999999999994,0.002294748310175473,0.008436968112830175,0.4818218398006127
6.299999999999994,0.002183487068084883,0.008198268848114303,0.47992212347499763
6.399999999999993,0.0020776203452697395,0.00796632287892046,0.4780749315189342
6.499999999999993,0.0019768865875925343,0.007740939140561199,0.4762784055542691
6.5999999999999925,0.0018810369224103187,0.007521931973963949,0.47453077201459415
6.699999999999992,0.001789834543710395,0.007309120972735012,0.4728303373780108
6.799999999999992,0.001703054127057801,0.007102330834550413,0.471175483714932
6.8999999999999915,0.001620481272909161,0.006901391216751222,0.46956466452711276
6.999999999999991,0.001541911976917555,0.0067061365960243815,0.46799640085612304
7.099999999999991,0.0014671521259197406,0.0065164061320534495,0.4664692776413124
7.19999999999999,0.001396017018360516,0.006332043535026947,0.46498194030897655
7.29999999999999,0.0013283309079693871,0.006152896936895167,0.46353309157594436
7.39999999999999,0.0012639265695621417,0.005978818766269398,0.46212148845217416
7.499999999999989,0.0012026448858946071,0.005809665626860503,0.4607459394281936
7.599999999999989,0.0011443344545478689,0.005645298179356723,0.4594053018343507
7.699999999999989,0.0010888512138737235,0.005485581026643403,0.45809847935987763
7.799999999999988,0.0010360580870762256,0.005330382602270091,0.4568244197207095
7.899999999999988,0.0009858246435499997,0.005179575062073126,0.4555821124658612
